docname,from,to,pre,keyword,post,pattern
doc_926,57,57,vanskelig situasjon knyttet til v<c3><a5>r st<c3><b8>rste n<c3><a6>ring alts<c3><a5>,petroleumsn<c3><a6>ringen,Det er bakgrunnen for den situasjonen vi har,petroleum*
doc_987,129,129,v<c3><a5>r virker Til tross for reduserte investeringer i,petroleumssektoren,er arbeidsledigheten if<c3><b8>lge Nav redusert fra januar til,petroleum*
doc_1002,78,78,er opptatt av at man har forutsigbarhet i,petroleumspolitikken,og vil f<c3><b8>lge opp sp<c3><b8>rsm<c3><a5>let om kraft fra,petroleum*
doc_1002,367,367,stort flertall i komiteen er opptatt av at,petroleumsvirksomhet,til havs skal gi arbeidsplasser og n<c3><a6>ringsutvikling p<c3><a5>,petroleum*
doc_1003,51,51,rammene som vi har satt for forvaltningen av,petroleumsvirksomheten,Det samspillet som vi i dag har mellom,petroleum*
doc_1003,123,123,utbygginger som er strategisk viktige for utviklingen av,petroleumsvirksomheten,s<c3><a6>rlig i Barentshavet og generelt for investeringer av,petroleum*
doc_1004,199,199,klar t<c3><a5> l<c3><b8>se utfordringene med krafttilf<c3><b8>rsel fra land,Petroleumsindustrien,har <c3><b8>kt sine utslipp med pst fra til,petroleum*
doc_1006,11,11,V komiteens leder N<c3><a5>r det gjelder utslipp fra,petroleumssektoren,er det bra at vi har et tydelig,petroleum*
doc_1008,90,90,Milj<c3><b8>partiet De Gr<c3><b8>nne viser til at hovedm<c3><a5>let i,petroleumspolitikken,fortsatt er <c2><ab> <c3><a5> legge til rette for,petroleum*
doc_1008,175,175,inn p<c3><a5> det gr<c3><b8>nne skiftet Men innenfor den,petroleumspolitikken,som n<c3><a5> engang f<c3><b8>res hevder jo stortingsflertallet at,petroleum*
doc_1008,340,340,oppfatninger om av hva som er l<c3><b8>nnsomhet i,petroleumsaktiviteten,Arbeiderpartiet H<c3><b8>yre Fremskrittspartiet og Senterpartiet viser i innstillingen,petroleum*
doc_1008,357,357,til at hovedutfordringen for <c3><a5> oppn<c3><a5> m<c3><a5>let i,petroleumspolitikken,er <c3><b8>kt utvinning fra felt utbygging og funn,petroleum*
doc_1009,14,14,er rettet inn mot <c3><a5> n<c3><a5> hovedm<c3><a5>let i,petroleumspolitikken,som er <c3><a5> legge til rette for l<c3><b8>nnsom,petroleum*
doc_1009,64,64,l<c3><b8>sninger er avgj<c3><b8>rende for at v<c3><a5>r regulering av,petroleumssektoren,skal gi god ressursforvaltning og st<c3><b8>rst mulig inntekter,petroleum*
doc_1009,172,172,kr Denne utbyggingen er viktig for utvikling av,petroleumsn<c3><a6>ringen,i nord og vil gi gode inntekter til,petroleum*
doc_1009,278,278,v<c3><a5>r klimapolitikk er deltakelse i EUs kvotesystem og,petroleumssektoren,er som kjent en del av dette systemet,petroleum*
doc_1009,604,604,opptatt av <c3><a5> opprettholde aktivitetsniv<c3><a5>et og verdiskapingen i,petroleumsn<c3><a6>ringen,I Johan Castberg-prosjektet vil en i utbyggingsfasen ha,petroleum*
doc_1015,95,95,til grunn at vi skal ha en konkurransedyktig,petroleumsvirksomhet,p<c3><a5> norsk sokkel i mange ti<c3><a5>r framover som,petroleum*
doc_1017,141,141,arbeidet som p<c3><a5>g<c3><a5>r knyttet til havvind koblet mot,petroleumsvirksomheten,N<c3><a5>r det gjelder senter for lavutslippsteknologi som ogs<c3><a5>,petroleum*
doc_1019,9,9,Statsr<c3><a5>d Terje S<c3><b8>viknes Sp<c3><b8>rsm<c3><a5>let om utslipp fra norsk,petroleumsvirksomhet,vil v<c3><a6>re avhengig av hva slags aktivitet og,petroleum*
doc_1019,142,142,jeg vil i avslutningen vise til veikartet for,petroleumssektoren,som n<c3><a6>ringen har utviklet Der ligger det mye,petroleum*
doc_1021,37,37,lagring av CO2-utslipp CCS kan bli viktig for,petroleumsbransjen,i fortsettelsen Kraft fra land er et tiltak,petroleum*
doc_1021,87,87,med p<c3><a5> dette feltet for at utslippene fra,petroleumsvirksomheten,v<c3><a5>r skal v<c3><a6>re s<c3><a5> lave som overhodet mulig,petroleum*
doc_1023,26,26,side legger personlige m<c3><a5>l for utslippsniv<c3><a5>et for norsk,petroleumsvirksomhet,M<c3><a5>lsettingen er et lavest mulig utslipp fra norsk,petroleum*
doc_1026,263,263,ogs<c3><a5> vil bety at vi f<c3><a5>r utnyttet ytterligere,petroleumsressurser,i en moden del av norsk sokkel som,petroleum*
doc_1029,151,151,et niv<c3><a5> p<c3><a5> godt under to grader Norsk,petroleumsproduksjon,har lave utslipp Den spiller en viktig rolle,petroleum*
doc_1030,83,83,er som kjent bred politisk oppslutning om at,petroleumsvirksomheten,er en hovedpilar i den <c3><b8>konomiske aktiviteten ogs<c3><a5>,petroleum*
doc_1030,108,108,for verdiskaping i Nord-Norge Fiskeri sj<c3><b8>mat skipsfart og,petroleumsn<c3><a6>ringen,utgj<c3><b8>r til sammen ryggraden i Kyst-Norge og <e2><80><93>,petroleum*
doc_1030,305,305,og bl.a informert om Norges erfaring som ansvarlig,petroleumsakt<c3><b8>r,i Arktis siden og om kyststatenes rettigheter i,petroleum*
doc_1036,35,35,det gjelder beredskap og sikkerhet er regulert i,petroleumslovens,<c2><a7> <c2><a7> 9-2<e2><80><93>9-5 I <c2><a7> 9-5 sies det,petroleum*
doc_1048,178,178,n<c3><a6>ringen s<c3><a6>rlig den delen som er knyttet til,petroleumsvirksomhet,st<c3><a5>r midt i en sv<c3><a6>rt krevende periode Stadig,petroleum*
doc_1049,319,319,<c3><a5>rene er det olje og gasseventyret Det er,petroleumssektoren,som har drevet den norske sj<c3><b8>mann de siste,petroleum*
doc_1051,52,52,har store og viktige investeringer knyttet til norsk,petroleumsn<c3><a6>ring,kommer til <c3><a5> bidra til at den norske,petroleum*
doc_1074,233,233,Norge de siste <c3><a5>rene har s<c3><a6>rlig kommet i,petroleumsrelaterte,n<c3><a6>ringer og mange h<c3><b8>ytl<c3><b8>nte i disse n<c3><a6>ringene har,petroleum*
doc_1077,66,66,og forsterket en utvikling vi visste ville komme,Petroleumsvirksomheten,vil alts<c3><a5> ikke lenger v<c3><a6>re den samme motoren,petroleum*
doc_1077,137,137,Samtidig har Statistisk sentralbyr<c3><a5> beregnet at sysselsettingen i,petroleumsrelaterte,jobber har g<c3><a5>tt ned med om lag siden,petroleum*
doc_1120,231,231,har ogs<c3><a5> besluttet at det ikke skal drives,petroleumsvirksomhet,ved iskanten Deler av fiskerin<c3><a6>ringen har g<c3><a5>tt sammen,petroleum*
doc_1128,309,309,konsekvensene de tre viktige n<c3><a6>ringene fiskeri skipstrafikk og,petroleumsutvinning,kan ha p<c3><a5> de s<c3><a5>rbare omr<c3><a5>dene og ikke,petroleum*
doc_1129,191,191,er iskantsonens utbredelse hvor det ikke skal v<c3><a6>re,petroleumsaktivitet,Men jeg har lyst <c3><a5> si at SV,petroleum*
doc_1129,227,227,at Lofoten Vester<c3><a5>len og Senja er fritt for,petroleumsaktivitet,Vi har utvidet omr<c3><a5>dene som er frie for,petroleum*
doc_1129,236,236,Vi har utvidet omr<c3><a5>dene som er frie for,petroleumsaktivitet,med Jan Mayen som den forrige regjeringen hadde,petroleum*
doc_1131,56,56,ser positivt p<c3><a5> aktivitet i dette omr<c3><a5>det ogs<c3><a5>,petroleumsaktivitet,under strenge milj<c3><b8>krav reagerer jeg Det blir snakket,petroleum*
doc_1131,233,233,i det hele tatt har en politikk for,petroleumsaktivitet,i Barentshavet Hvis man skal lytte til det,petroleum*
doc_1135,17,17,sp<c3><b8>rsm<c3><a5>l og det er Mener statsr<c3><a5>den at norsk,petroleumspolitikk,er <c3><b8>kologisk b<c3><a6>rekraftig,petroleum*
doc_1136,7,7,Statsr<c3><a5>d Vidar Helgesen Norge har en,petroleumspolitikk,og et rammeverk rundt olje og gassvirksomheten som,petroleum*
doc_1136,40,40,at det er ganske begrensede milj<c3><b8>effekter av norsk,petroleumsvirksomhet,N<c3><a5>r det gjelder klimaeffektene av norsk petroleumsvirksomhet er,petroleum*
doc_1136,47,47,norsk petroleumsvirksomhet N<c3><a5>r det gjelder klimaeffektene av norsk,petroleumsvirksomhet,er det ingen tvil om at olje og,petroleum*
doc_1183,89,89,ber regjeringen fremme forslag om varig vern mot,petroleumsaktivitet,i havomr<c3><a5>dene utenfor Lofoten Vester<c3><a5>len og Senja inkludert,petroleum*
doc_1183,152,152,noen viktige prinsipper for forvaltningen av v<c3><a5>re felles,petroleumsressurser,Det er jeg glad for Komiteens flertall peker,petroleum*
doc_1183,174,174,krav til helse milj<c3><b8> og sikkerhet for all,petroleumsaktivitet,og at dette er en av de viktigste,petroleum*
doc_1183,186,186,er en av de viktigste b<c3><a6>rebjelkene i norsk,petroleumspolitikk,Samtidig er hovedm<c3><a5>let i politikken <c3><a5> legge til,petroleum*
doc_1183,335,335,hva gjelder b<c3><a5>de natur og milj<c3><b8> fisk og,petroleumsressurser,Uansett om man er for en konsekvensutredning eller,petroleum*
doc_1183,392,392,allerede vet nok til <c3><a5> si nei til,petroleumsaktivitet,i disse spesifikke omr<c3><a5>dene eller ikke Det er,petroleum*
doc_1183,402,402,disse spesifikke omr<c3><a5>dene eller ikke Det er gjennom,petroleumsloven,og herunder konsekvensutredning og <c3><a5>pningsprosesser at det <c3><a5>pnes,petroleum*
doc_1183,494,494,et tilstrekkelig beslutningsgrunnlag for <c3><a5> ta stilling til,petroleumsvirksomhet,i disse omr<c3><a5>dene eller g<c3><a5> inn for varig,petroleum*
doc_1183,631,631,har et felles ansvar for <c3><a5> forvalte v<c3><a5>re,petroleumsressurser,p<c3><a5> en god m<c3><a5>te til glede ikke bare,petroleum*
doc_1184,71,71,systemet med konsekvensutredninger for <c3><a5> vurdere konsekvensene av,petroleumsvirksomhet,i nye omr<c3><a5>der P<c3><a5> den m<c3><a5>ten kunne vi,petroleum*
doc_1184,83,83,P<c3><a5> den m<c3><a5>ten kunne vi balansere hensynene mellom,petroleumsvirksomhet,og andre n<c3><a6>ringer og s<c3><a6>rlig fiskeri Det har,petroleum*
doc_1184,107,107,til milj<c3><b8> og sikkerhet og man har unng<c3><a5>tt,petroleumsvirksomhet,i s<c3><a5>rbare omr<c3><a5>der nettopp gjennom <c3><a5> skaffe til,petroleum*
doc_1184,205,205,det norske samfunnet Men Arbeiderpartiet <c3><b8>nsker ikke at,petroleumsvirksomheten,skal v<c3><a6>re til skade for fiskeri milj<c3><b8> og,petroleum*
doc_1184,364,364,Lofotodden og i Vestfjorden skal det ikke drives,petroleumsvirksomhet,Vi sier ogs<c3><a5> at en prosess med konsekvensutredning,petroleum*
doc_1184,431,431,<c3><b8>nsker vi en opplyst debatt om virkningene av,petroleumsvirksomhet,i disse omr<c3><a5>dene Det er ikke gitt at,petroleum*
doc_1184,445,445,ikke gitt at Arbeiderpartiet vil g<c3><a5> inn for,petroleumsvirksomhet,i omr<c3><a5>det men vi g<c3><a5>r inn for en,petroleum*
doc_1184,510,510,godt sier at her skal det ikke drives,petroleumsvirksomhet,eller gjennom tidsbegrensninger at man avgrenser tiden for,petroleum*
doc_1185,58,58,krav til helse milj<c3><b8> og sikkerhet for all,petroleumsvirksomhet,i Norge har v<c3><a6>rt et fast budskap Petroleumspolitikken,petroleum*
doc_1185,66,66,petroleumsvirksomhet i Norge har v<c3><a6>rt et fast budskap,Petroleumspolitikken,er en av de viktigste b<c3><a6>rebjelkene i samfunnet,petroleum*
doc_1185,151,151,km fra land i Lofoten skal v<c3><a6>re en,petroleumsfri,sone Det bryter egentlig med et veletablert prinsipp,petroleum*
doc_1186,7,7,Rigmor Andersen Eide KrF Motstanden mot,petroleumsaktivitet,i omr<c3><a5>dene utenfor Lofoten Vester<c3><a5>len og Senja har,petroleum*
doc_1186,153,153,det er for stor risiko <c3><a5> <c3><a5>pne for,petroleumsvirksomhet,i disse omr<c3><a5>dene Dette er s<c3><a5>rbare omr<c3><a5>der hvor,petroleum*
doc_1187,236,236,konsekvensutredning Det har bestandig v<c3><a6>rt s<c3><a5>nn i norsk,petroleumspolitikk,at <c3><a5>pner man for konsekvensutredning s<c3><a5> <c3><a5>pner man,petroleum*
doc_1188,21,21,det ikke v<c3><a6>rt <c3><a5>pnet for konsekvensutredning av eller,petroleumsaktivitet,i omr<c3><a5>dene utenfor Lofoten Vester<c3><a5>len og Senja I,petroleum*
doc_1188,143,143,som representanten Arnstad sa <e2><80><93> i henhold til,petroleumslovgivningen,er en konsekvensutredning i realiteten f<c3><b8>rste steg til,petroleum*
doc_1188,224,224,framover Det er en realitet at produksjon av,petroleumsprodukter,inneb<c3><a6>rer en sikkerhetsrisiko Det kan skje uhell n<c3><a5>r,petroleum*
doc_1188,372,372,ogs<c3><a5> lokalt for at man ikke skal ha,petroleumsvirksomhet,utenfor Lofoten Vester<c3><a5>len og Senja Til Arbeiderpartiets vedtak,petroleum*
doc_1188,507,507,partienes standpunkt i denne saken Det <c3><a5> unng<c3><a5>,petroleumsaktivitet,utenfor Lofoten Vester<c3><a5>len og Senja vil for Venstre,petroleum*
