docname,from,to,pre,keyword,post,pattern
doc_51,219,219,miste dagpengene Dette oppmuntrer til b<c3><a5>de utdanning og,omstilling,Det ble ogs<c3><a5> satt av penger til ekstra,omstilling*
doc_52,12,12,FrP En av forutsetningene for <c3><a5> lykkes med,omstilling,og nyskaping i framtiden er at velferdsordningene treffer,omstilling*
doc_53,29,29,for arbeid og for familien Arbeid aktivitet og,omstilling,har preget regjeringas politiske arbeid i <c3><a5>ret som,omstilling*
doc_54,107,107,verft og teknologiselskap gler seg over desse utfordringane,Omstilling,gjev rom for <c3><a5> stramme opp kursen Det,omstilling*
doc_55,118,118,av oljesektoren uten at det f<c3><b8>rte til n<c3><b8>dvendige,omstillingstiltak,Oljeprisen er mer enn halvert siden regjeringen Solberg,omstilling*
doc_57,91,91,et n<c3><a6>ringsliv som sliter og som skal gjennom,omstilling,Arbeiderpartiet legger fram sin politikk gjennom alternative budsjetter,omstilling*
doc_64,68,68,bedriftene selv kan komme i gang med den,omstillingen,som er helt n<c3><b8>dvendig N<c3><a5>r man bruker BIA-midler,omstilling*
doc_66,40,40,med dei tidene Noreg har no for den,omstillinga,som har kome innanfor oljesektoren har kome mykje,omstilling*
doc_75,157,157,vi ha en aktiv politikk for den typen,omstilling,og da m<c3><a5> vi investere i det som,omstilling*
doc_89,80,80,og det at norsk <c3><b8>konomi st<c3><a5>r foran store,omstillingsutfordringer,med tanke p<c3><a5> <c3><a5> skape nye arbeidsplasser ny,omstilling*
doc_97,147,147,man jo at man ikke forst<c3><a5>r det enorme,omstillingsarbeidet,vi m<c3><a5> igjennom som tar tid og som,omstilling*
doc_98,193,193,for alle at vi sto overfor en betydelig,omstilling,av norsk <c3><b8>konomi <e2><80><93> i hvert fall for,omstilling*
doc_98,689,689,et helt arbeidsliv Sm<c3><a5> forskjeller gj<c3><b8>r oss mer,omstillingsdyktige,Det st<c3><b8>tter opp om <c3><b8>konomisk vekst Det bidrar,omstilling*
doc_98,1575,1575,bidrar til at vi kan g<c3><a5> gjennom en,omstillingsfase,p<c3><a5> en m<c3><a5>te som gj<c3><b8>r at vi berger,omstilling*
doc_101,397,397,et viktig skille Vi har store utfordringer med,omstillinger,Det partiet som sier at de alltid er,omstilling*
doc_102,304,304,i norsk <c3><b8>konomi til <c3><a5> sette i gang,omstilling,og gi oss flere bein <c3><a5> st<c3><a5> p<c3><a5>,omstilling*
doc_102,396,396,sikt som ogs<c3><a5> bygger opp under den langsiktige,omstillingen,for <c3><a5> ha politikk som s<c3><b8>rger for at,omstilling*
doc_105,176,176,for satte regjeringen av mill kr i s<c3><a5>kalte,omstillingsmidler,for alle kommunene langs hele kysten fra Aust-Agder,omstilling*
doc_105,208,208,Blue Maritime som til sammen representerer bedrifter i,omstilling,samarbeidet om to s<c3><b8>knader under denne ordningen som,omstilling*
doc_105,223,223,ordningen som kunne hatt en stor effekt p<c3><a5>,omstilling,i industrien Da det etter hvert kom fram,omstilling*
