docname,from,to,pre,keyword,post,pattern
doc_426,40,40,at private kan investere sammen med Statkraft i,fornybar,energi Vi i Arbeiderpartiet er tydelige p<c3><a5> at,fornybar*
doc_429,78,78,m<c3><a5> komme fra det som statsr<c3><a5>den sa nemlig,fornybare,biologiske ressurser Vi snakker alts<c3><a5> et spr<c3><a5>k som,fornybar*
doc_429,101,101,er prim<c3><a6>rn<c3><a6>ringene som st<c3><a5>r for produksjonen av de,fornybare,biologiske ressursene Problemet for dette n<c3><a6>ringslivet som er,fornybar*
doc_429,113,113,for dette n<c3><a6>ringslivet som er knyttet til de,fornybare,biologiske ressursene er imidlertid at l<c3><b8>nnsomheten er s<c3><a5>,fornybar*
doc_431,15,15,er kjent er at det er forskjell p<c3><a5>,fornybart,karbon og ikke-fornybart karbon Det er veldig kjent,fornybar*
doc_431,59,59,ha konkurrerende vilk<c3><a5>r slik at ungdommen velger de,fornybare,n<c3><a6>ringene Vi har imidlertid store problemer Sekretariatsleder for,fornybar*
doc_433,133,133,bygger infrastruktur vi tilrettelegger for og bygger mer,fornybar,energi vi tilrettelegger bedre for skipsfartsn<c3><a6>ringen og vi,fornybar*
doc_456,553,553,det er mitt tredje punkt Stor tilgang p<c3><a5>,fornybar,energi stabil geologi stabilt politisk styre og en,fornybar*
doc_466,142,142,er lettere <c3><a5> lage mye str<c3><b8>m Produksjon av,fornybar,energi g<c3><a5>r kraftig ned i pris Det er,fornybar*
doc_466,238,238,bedre m<c3><a5>te enn i dag N<c3><a5>r man f<c3><a5>r,fornybar,energi batterilagring kommunikasjonsteknologi materialteknologi og stadig billigere og,fornybar*
doc_475,161,161,s<c3><a6>rlig hvis det kommer sammen med utslippsfrie og,fornybare,transportl<c3><b8>sninger slik f.eks DNV GLs konseptskip <c2><ab> ReVolt,fornybar*
doc_498,310,310,en <c3><a5>rlig produksjon p<c3><a5> mellom GWh og GWh,fornybar,energi ca like mye kraft som husstander bruker,fornybar*
doc_500,227,227,trygg l<c3><b8>ysing det er ei l<c3><b8>ysing som skapar,fornybar,energi som eg nemnde <e2><80><93> og sist men,fornybar*
doc_520,141,141,ut fr<c3><a5> naturressursane Senterpartiet er ein forkjempar for,fornybar,energi Me m<c3><a5> ha rammevilk<c3><a5>r men <c3><b2>g vilje,fornybar*
doc_520,175,175,for utan vindm<c3><b8>ller inga vindkraft utan kraftlinjer inga,fornybarsatsing,utan r<c3><b8>yrgater og demningar inga vasskraft P<c3><a5> same,fornybar*
doc_531,420,420,regjeringen tiltr<c3><a5>dte i Norge har god tilgang p<c3><a5>,fornybare,biologiske ressurser b<c3><a5>de i havet og p<c3><a5> land,fornybar*
doc_535,61,61,er det <c3><a5> s<c3><b8>rge for at land velger,fornybare,str<c3><b8>minvesteringer i stedet for <c3><a5> l<c3><a5>se seg til,fornybar*
doc_535,257,257,en investering i et utviklingsland med f<c3><a5> tidligere,fornybarinvesteringer,<c3><a5> vise til vil risikoen oppfattes som h<c3><b8>y,fornybar*
doc_535,338,338,stat og sin finansielle muskel p<c3><a5> <c3><a5> st<c3><b8>tte,fornybarn<c3><a6>ringer,i Norge st<c3><b8>tte utviklingslands utvikling og kutte klimagassutslipp,fornybar*
doc_552,933,933,og styrking av Norges rolle som leverand<c3><b8>r av,fornybar,energi Det er ikke tvil om at summen,fornybar*
doc_553,189,189,teknologimilj<c3><b8>er en h<c3><b8>yt utdannet og kompetent befolkning og,fornybare,energiressurser har forutsetninger for <c3><a5> klare omstillingen til,fornybar*
doc_553,313,313,transportsektoren utvikling av lavutslippsteknologi i industrien CO h<c3><a5>ndtering,fornybar,energi og milj<c3><b8>vennlig skipsfart Klima og milj<c3><b8>departementets budsjett,fornybar*
doc_553,360,360,i teknologiutvikling og <c3><a5> erstatte fossil energi med,fornybar,energi som gir lavere klimagassutslipp Regjeringen foresl<c3><a5>r <c3><a5>,fornybar*
doc_555,155,155,<c3><a5> v<c3><a6>re med p<c3><a5> den verdiskapingen knyttet til,fornybar,energi som de b<c3><b8>r v<c3><a6>re med p<c3><a5> i,fornybar*
doc_555,233,233,Vi lever i et land med overflod av,fornybar,energi Vi har alle muligheter til <c3><a5> bidra,fornybar*
doc_555,262,262,og en klar satsing p<c3><a5> videre produksjon av,fornybar,energi og p<c3><a5> teknologiutvikling som gir grunnlag for,fornybar*
doc_555,281,281,Norge Det er ikke noen tvil om at,fornybarsektoren,i et klimaperspektiv vil bidra til reduserte utslipp,fornybar*
doc_556,208,208,Energipolitikken er et m<c3><b8>rkt kapittel <e2><80><93> kutt i,fornybarst<c3><b8>tten,i Norge etter nesten utradering av bistand til,fornybar*
doc_556,217,217,i Norge etter nesten utradering av bistand til,fornybar,energi i utviklingsland kutt i Statkrafts offshore vindsatsing,fornybar*
doc_558,242,242,forsterke fordelene ved <c3><a5> g<c3><a5> fra fossil til,fornybar,energi gjennom en kjempesatsing p<c3><a5> ladeinfrastruktur ved <c3><a5>,fornybar*
doc_561,432,432,at ikke bare bygges det ut mer ny,fornybar,energi enn en har gjort de siste <c3><a5>rene,fornybar*
doc_561,450,450,det bygges faktisk ut dobbelt s<c3><a5> mye ny,fornybar,energi i Norge som gjennomsnittet de siste <c3><a5>rene,fornybar*
