docname,from,to,pre,keyword,post,pattern
doc_3179,288,288,globale oppvarmingen gjennom de mulighetene som ligger i,karbonfangst,transport og lagring Gode l<c3><b8>sninger og et marked,karbonfangst*
doc_3179,298,298,og lagring Gode l<c3><b8>sninger og et marked for,karbonfangst,transport og lagring er det viktigste Norge kan,karbonfangst*
doc_3184,590,590,bedre teknologi og at vi ogs<c3><a5> f<c3><a5>r fram,karbonfangstanlegg,som kan bidra til <c3><a5> hjelpe disse anleggene,karbonfangst*
doc_3266,164,164,punktutslipp og vi har lagringsmuligheter Vi kan gj<c3><b8>re,karbonfangst,og lagring til en lovende mulighet i kampen,karbonfangst*
doc_3266,208,208,i forslaget til revidert nasjonalbudsjett for skriver at,karbonfangst,og lagring m<c3><a5> vurderes opp mot andre klimatiltak,karbonfangst*
doc_3266,289,289,vi skal finansiere de neste fram til at,karbonfangst,og lagring er kommersielt tilgjengelig Og ikke minst,karbonfangst*
doc_3266,346,346,av energimeldingen i ba regjeringen utrede finansieringsmodeller for,karbonfangst,og lagring Derfor mener flertallet i komiteen at,karbonfangst*
doc_3270,22,22,enighet i denne salen om at vi trenger,karbonfangst,og lagring av negative utslipp i kampen mot,karbonfangst*
doc_3271,84,84,<c3><a5> kutte klimautslipp <e2><80><93> potensielle prosjekter Der har,karbonfangst,og lagring kommet inn igjen etter <c3><a5> ha,karbonfangst*
doc_3272,52,52,av disse kuttene skal tas ved hjelp av,karbonfangst,i industri ca mill tonn og avfallsforbrenning mill,karbonfangst*
doc_3273,44,44,m<c3><a5> ha p<c3><a5> plass en gjennomf<c3><b8>rbar l<c3><b8>sning for,karbonfangst,og lagring for <c3><a5> kunne n<c3><a5> m<c3><a5>lene etter,karbonfangst*
doc_3274,385,385,er klart at selv om vi lykkes med,karbonfangst,i Norge er ikke det noen garanti for,karbonfangst*
doc_3275,28,28,i opposisjon for <c3><a5> f<c3><a5> til prosjekter med,karbonfangst,og lagring i Norge og det har vi,karbonfangst*
doc_3275,149,149,en tydelig plan fram til og s<c3><a5> kommer,karbonfangst,og lagring som en bonus hvis vi greier,karbonfangst*
doc_3275,246,246,med forbrenningsanlegg Her er det masse punktutslipp hvor,karbonfangsten,kan komme inn Her ligger det mange piper,karbonfangst*
doc_3277,14,14,av kort tid f<c3><a5>r statsr<c3><a5>den kvalitetssikringsrapporten for Fortums,karbonfangstprosjekt,her i Oslo og statsr<c3><a5>den sier at regjeringen,karbonfangst*
doc_3300,334,334,<c3><a5> behalde maskinavskrivingane i industrien satsa p<c3><a5> storskala,karbonfangst,og lagring eller lagt fram ambisi<c3><b8>se satsingar og,karbonfangst*
doc_3315,305,305,arbeidsplassene man faktisk snakker om S<c3><a5> har vi,karbonfangst,og lagring som kan bli det nye store,karbonfangst*
doc_3316,153,153,vil ha stor nasjonal og internasjonal effekt er,karbonfangst,og lagring Ogs<c3><a5> her s<c3><a5> vi lenge en,karbonfangst*
doc_3388,217,217,helt i front n<c3><a5>r det gjelder utviklingen av,karbonfangst,og lagring Regjeringen videref<c3><b8>rer arbeidet b<c3><a5>de med Klemetsrud,karbonfangst*
doc_3420,49,49,de forslagene handlet om <c3><a5> g<c3><a5> videre med,karbonfangst,og lagring Alle rapporter vi leser sier at,karbonfangst*
doc_3420,59,59,lagring Alle rapporter vi leser sier at uten,karbonfangst,og lagring vil vi ikke n<c3><a5> 2-gradersm<c3><a5>let og,karbonfangst*
doc_3420,97,97,Norsk Industri og bedriftene stilles det sp<c3><b8>rsm<c3><a5>l Vil,karbonfangst,p<c3><a5> Klemetsrud og i Brevik f<c3><a5> finansiering neste,karbonfangst*
doc_3509,315,315,Derfor fortsetter regjeringen <c3><a5> satse p<c3><a5> utvikling av,karbonfangst,og lagring med de to prosjektene vi har,karbonfangst*
doc_3569,92,92,utenfor et fond begynnende opptrappinger som trengs for,karbonfangst,og lagring for industrien <c3><a5> starte elektrifisering av,karbonfangst*
doc_3598,56,56,tydeligvis ingen betydning At vi gjennomf<c3><b8>rer og videref<c3><b8>rer,karbonfangst,og lagring p<c3><a5> de to prosjektene vi har,karbonfangst*
doc_3663,965,965,inn mot industri og n<c3><a6>ringsliv at vi prioriterer,karbonfangst,og lagring slik at man kan realisere minst,karbonfangst*
doc_3765,670,670,g<c3><a5>r an <c3><a5> finne fram til teknologi for,karbonfangst,og lagring selv om det er langt igjen,karbonfangst*
doc_3771,694,694,ved <c3><a5> sette av mrd kr til fullskala,karbonfangst,og lagring i et fond som selvf<c3><b8>lgelig m<c3><a5>,karbonfangst*
doc_3798,443,443,<c3><a5>rene framover Vi m<c3><a5> bygge opp teknologien for,karbonfangst,og lagring Derfor fortsetter regjeringen med prosjektene p<c3><a5>,karbonfangst*
doc_3813,57,57,b<c3><b8>r v<c3><a6>re nevnt og det er investeringene i,karbonfangst,og lagring Jeg vil bare understreke hvor utrolig,karbonfangst*
